"","county_fips","county_name","state_name","population","id"
"1",1001,"Autauga","Alabama",0,"01001"
"2",1003,"Baldwin","Alabama",4,"01003"
"3",1005,"Barbour","Alabama",0,"01005"
"4",1007,"Bibb","Alabama",0,"01007"
"5",1009,"Blount","Alabama",0,"01009"
"6",1011,"Bullock","Alabama",0,"01011"
"7",1013,"Butler","Alabama",1,"01013"
"8",1015,"Calhoun","Alabama",1,"01015"
"9",1017,"Chambers","Alabama",0,"01017"
"10",1019,"Cherokee","Alabama",0,"01019"
"11",1021,"Chilton","Alabama",0,"01021"
"12",1023,"Choctaw","Alabama",0,"01023"
"13",1025,"Clarke","Alabama",0,"01025"
"14",1027,"Clay","Alabama",0,"01027"
"15",1029,"Cleburne","Alabama",0,"01029"
"16",1031,"Coffee","Alabama",0,"01031"
"17",1033,"Colbert","Alabama",0,"01033"
"18",1035,"Conecuh","Alabama",0,"01035"
"19",1037,"Coosa","Alabama",0,"01037"
"20",1039,"Covington","Alabama",2,"01039"
"21",1041,"Crenshaw","Alabama",0,"01041"
"22",1043,"Cullman","Alabama",0,"01043"
"23",1045,"Dale","Alabama",1,"01045"
"24",1047,"Dallas","Alabama",0,"01047"
"25",1049,"DeKalb","Alabama",0,"01049"
"26",1051,"Elmore","Alabama",1,"01051"
"27",1053,"Escambia","Alabama",0,"01053"
"28",1055,"Etowah","Alabama",0,"01055"
"29",1057,"Fayette","Alabama",0,"01057"
"30",1059,"Franklin","Alabama",0,"01059"
"31",1061,"Geneva","Alabama",0,"01061"
"32",1063,"Greene","Alabama",0,"01063"
"33",1065,"Hale","Alabama",0,"01065"
"34",1067,"Henry","Alabama",2,"01067"
"35",1069,"Houston","Alabama",4,"01069"
"36",1071,"Jackson","Alabama",1,"01071"
"37",1073,"Jefferson","Alabama",7,"01073"
"38",1075,"Lamar","Alabama",0,"01075"
"39",1077,"Lauderdale","Alabama",0,"01077"
"40",1079,"Lawrence","Alabama",0,"01079"
"41",1081,"Lee","Alabama",7,"01081"
"42",1083,"Limestone","Alabama",0,"01083"
"43",1085,"Lowndes","Alabama",0,"01085"
"44",1087,"Macon","Alabama",0,"01087"
"45",1089,"Madison","Alabama",6,"01089"
"46",1091,"Marengo","Alabama",0,"01091"
"47",1093,"Marion","Alabama",0,"01093"
"48",1095,"Marshall","Alabama",0,"01095"
"49",1097,"Mobile","Alabama",1,"01097"
"50",1099,"Monroe","Alabama",0,"01099"
"51",1101,"Montgomery","Alabama",5,"01101"
"52",1103,"Morgan","Alabama",0,"01103"
"53",1105,"Perry","Alabama",0,"01105"
"54",1107,"Pickens","Alabama",0,"01107"
"55",1109,"Pike","Alabama",1,"01109"
"56",1111,"Randolph","Alabama",0,"01111"
"57",1113,"Russell","Alabama",0,"01113"
"58",1115,"St. Clair","Alabama",0,"01115"
"59",1117,"Shelby","Alabama",4,"01117"
"60",1119,"Sumter","Alabama",0,"01119"
"61",1121,"Talladega","Alabama",0,"01121"
"62",1123,"Tallapoosa","Alabama",1,"01123"
"63",1125,"Tuscaloosa","Alabama",1,"01125"
"64",1127,"Walker","Alabama",0,"01127"
"65",1129,"Washington","Alabama",0,"01129"
"66",1131,"Wilcox","Alabama",0,"01131"
"67",1133,"Winston","Alabama",1,"01133"
"68",2013,"Aleutians East","Alaska",0,"02013"
"69",2016,"Aleutians West","Alaska",0,"02016"
"70",2020,"Anchorage","Alaska",1,"02020"
"71",2050,"Bethel","Alaska",0,"02050"
"72",2060,"Bristol Bay","Alaska",0,"02060"
"73",2063,"Chugach","Alaska",0,"02063"
"74",2066,"Copper River","Alaska",0,"02066"
"75",2068,"Denali","Alaska",0,"02068"
"76",2070,"Dillingham","Alaska",0,"02070"
"77",2090,"Fairbanks North Star","Alaska",3,"02090"
"78",2100,"Haines","Alaska",0,"02100"
"79",2105,"Hoonah-Angoon","Alaska",0,"02105"
"80",2110,"Juneau","Alaska",2,"02110"
"81",2122,"Kenai Peninsula","Alaska",2,"02122"
"82",2130,"Ketchikan Gateway","Alaska",0,"02130"
"83",2150,"Kodiak Island","Alaska",0,"02150"
"84",2158,"Kusilvak","Alaska",0,"02158"
"85",2164,"Lake and Peninsula","Alaska",0,"02164"
"86",2170,"Matanuska-Susitna","Alaska",0,"02170"
"87",2180,"Nome","Alaska",0,"02180"
"88",2185,"North Slope","Alaska",0,"02185"
"89",2188,"Northwest Arctic","Alaska",0,"02188"
"90",2195,"Petersburg","Alaska",0,"02195"
"91",2198,"Prince of Wales-Hyder","Alaska",0,"02198"
"92",2220,"Sitka","Alaska",0,"02220"
"93",2230,"Skagway","Alaska",0,"02230"
"94",2240,"Southeast Fairbanks","Alaska",0,"02240"
"95",2275,"Wrangell","Alaska",1,"02275"
"96",2282,"Yakutat","Alaska",0,"02282"
"97",2290,"Yukon-Koyukuk","Alaska",0,"02290"
"98",60050,"Western","American Samoa",0,"60050"
"99",4001,"Apache","Arizona",0,"04001"
"100",4003,"Cochise","Arizona",1,"04003"
"101",4005,"Coconino","Arizona",3,"04005"
"102",4007,"Gila","Arizona",1,"04007"
"103",4009,"Graham","Arizona",0,"04009"
"104",4011,"Greenlee","Arizona",0,"04011"
"105",4012,"La Paz","Arizona",0,"04012"
"106",4013,"Maricopa","Arizona",51,"04013"
"107",4015,"Mohave","Arizona",1,"04015"
"108",4017,"Navajo","Arizona",1,"04017"
"109",4019,"Pima","Arizona",19,"04019"
"110",4021,"Pinal","Arizona",1,"04021"
"111",4023,"Santa Cruz","Arizona",1,"04023"
"112",4025,"Yavapai","Arizona",0,"04025"
"113",4027,"Yuma","Arizona",1,"04027"
"114",35031,"McKinley","Arizona",0,"35031"
"115",5001,"Arkansas","Arkansas",0,"05001"
"116",5003,"Ashley","Arkansas",0,"05003"
"117",5005,"Baxter","Arkansas",0,"05005"
"118",5007,"Benton","Arkansas",1,"05007"
