"","county_fips","county_name","state_name","state_id","population","id"
"1","01001","Autauga","Alabama","AL",0,"01001"
"2","01003","Baldwin","Alabama","AL",1,"01003"
"3","01005","Barbour","Alabama","AL",0,"01005"
"4","01007","Bibb","Alabama","AL",0,"01007"
"5","01009","Blount","Alabama","AL",2,"01009"
"6","01011","Bullock","Alabama","AL",0,"01011"
"7","01013","Butler","Alabama","AL",0,"01013"
"8","01015","Calhoun","Alabama","AL",1,"01015"
"9","01017","Chambers","Alabama","AL",0,"01017"
"10","01019","Cherokee","Alabama","AL",0,"01019"
"11","01021","Chilton","Alabama","AL",0,"01021"
"12","01023","Choctaw","Alabama","AL",0,"01023"
"13","01025","Clarke","Alabama","AL",0,"01025"
"14","01027","Clay","Alabama","AL",0,"01027"
"15","01029","Cleburne","Alabama","AL",0,"01029"
"16","01031","Coffee","Alabama","AL",1,"01031"
"17","01033","Colbert","Alabama","AL",0,"01033"
"18","01035","Conecuh","Alabama","AL",0,"01035"
"19","01037","Coosa","Alabama","AL",0,"01037"
"20","01039","Covington","Alabama","AL",0,"01039"
"21","01041","Crenshaw","Alabama","AL",0,"01041"
"22","01043","Cullman","Alabama","AL",0,"01043"
"23","01045","Dale","Alabama","AL",1,"01045"
"24","01047","Dallas","Alabama","AL",1,"01047"
"25","01049","DeKalb","Alabama","AL",0,"01049"
"26","01051","Elmore","Alabama","AL",0,"01051"
"27","01053","Escambia","Alabama","AL",0,"01053"
"28","01055","Etowah","Alabama","AL",0,"01055"
"29","01057","Fayette","Alabama","AL",0,"01057"
"30","01059","Franklin","Alabama","AL",1,"01059"
"31","01061","Geneva","Alabama","AL",0,"01061"
"32","01063","Greene","Alabama","AL",0,"01063"
"33","01065","Hale","Alabama","AL",0,"01065"
"34","01067","Henry","Alabama","AL",0,"01067"
"35","01069","Houston","Alabama","AL",1,"01069"
"36","01071","Jackson","Alabama","AL",1,"01071"
"37","01073","Jefferson","Alabama","AL",13,"01073"
"38","01075","Lamar","Alabama","AL",0,"01075"
"39","01077","Lauderdale","Alabama","AL",0,"01077"
"40","01079","Lawrence","Alabama","AL",0,"01079"
"41","01081","Lee","Alabama","AL",5,"01081"
"42","01083","Limestone","Alabama","AL",2,"01083"
"43","01085","Lowndes","Alabama","AL",0,"01085"
"44","01087","Macon","Alabama","AL",1,"01087"
"45","01089","Madison","Alabama","AL",8,"01089"
"46","01091","Marengo","Alabama","AL",0,"01091"
"47","01093","Marion","Alabama","AL",0,"01093"
"48","01095","Marshall","Alabama","AL",0,"01095"
"49","01097","Mobile","Alabama","AL",2,"01097"
"50","01099","Monroe","Alabama","AL",0,"01099"
"51","01101","Montgomery","Alabama","AL",6,"01101"
"52","01103","Morgan","Alabama","AL",0,"01103"
"53","01105","Perry","Alabama","AL",1,"01105"
"54","01107","Pickens","Alabama","AL",0,"01107"
"55","01109","Pike","Alabama","AL",0,"01109"
"56","01111","Randolph","Alabama","AL",0,"01111"
"57","01113","Russell","Alabama","AL",0,"01113"
"58","01115","St. Clair","Alabama","AL",0,"01115"
"59","01117","Shelby","Alabama","AL",10,"01117"
"60","01119","Sumter","Alabama","AL",1,"01119"
"61","01121","Talladega","Alabama","AL",0,"01121"
"62","01123","Tallapoosa","Alabama","AL",6,"01123"
"63","01125","Tuscaloosa","Alabama","AL",2,"01125"
"64","01127","Walker","Alabama","AL",0,"01127"
"65","01129","Washington","Alabama","AL",0,"01129"
"66","01131","Wilcox","Alabama","AL",0,"01131"
"67","01133","Winston","Alabama","AL",1,"01133"
"68","02013","Aleutians East","Alaska","AK",0,"02013"
"69","02016","Aleutians West","Alaska","AK",0,"02016"
"70","02020","Anchorage","Alaska","AK",7,"02020"
"71","02050","Bethel","Alaska","AK",0,"02050"
"72","02060","Bristol Bay","Alaska","AK",0,"02060"
"73","02063","Chugach","Alaska","AK",0,"02063"
"74","02066","Copper River","Alaska","AK",0,"02066"
"75","02068","Denali","Alaska","AK",0,"02068"
"76","02070","Dillingham","Alaska","AK",0,"02070"
"77","02090","Fairbanks North Star","Alaska","AK",1,"02090"
"78","02100","Haines","Alaska","AK",0,"02100"
"79","02105","Hoonah-Angoon","Alaska","AK",0,"02105"
"80","02110","Juneau","Alaska","AK",0,"02110"
"81","02122","Kenai Peninsula","Alaska","AK",0,"02122"
"82","02130","Ketchikan Gateway","Alaska","AK",0,"02130"
"83","02150","Kodiak Island","Alaska","AK",0,"02150"
"84","02158","Kusilvak","Alaska","AK",0,"02158"
"85","02164","Lake and Peninsula","Alaska","AK",0,"02164"
"86","02170","Matanuska-Susitna","Alaska","AK",0,"02170"
"87","02180","Nome","Alaska","AK",0,"02180"
"88","02185","North Slope","Alaska","AK",0,"02185"
"89","02188","Northwest Arctic","Alaska","AK",0,"02188"
"90","02195","Petersburg","Alaska","AK",0,"02195"
"91","02198","Prince of Wales-Hyder","Alaska","AK",0,"02198"
"92","02220","Sitka","Alaska","AK",0,"02220"
"93","02230","Skagway","Alaska","AK",1,"02230"
"94","02240","Southeast Fairbanks","Alaska","AK",0,"02240"
"95","02275","Wrangell","Alaska","AK",0,"02275"
"96","02282","Yakutat","Alaska","AK",0,"02282"
"97","02290","Yukon-Koyukuk","Alaska","AK",0,"02290"
"98","60050","Western","American Samoa","AS",0,"60050"
"99","04001","Apache","Arizona","AZ",0,"04001"
"100","04003","Cochise","Arizona","AZ",4,"04003"
"101","04005","Coconino","Arizona","AZ",2,"04005"
"102","04007","Gila","Arizona","AZ",0,"04007"
"103","04009","Graham","Arizona","AZ",0,"04009"
"104","04011","Greenlee","Arizona","AZ",0,"04011"
"105","04012","La Paz","Arizona","AZ",0,"04012"
"106","04013","Maricopa","Arizona","AZ",138,"04013"
"107","04015","Mohave","Arizona","AZ",0,"04015"
"108","04017","Navajo","Arizona","AZ",1,"04017"
"109","04019","Pima","Arizona","AZ",24,"04019"
"110","04021","Pinal","Arizona","AZ",4,"04021"
"111","04023","Santa Cruz","Arizona","AZ",0,"04023"
"112","04025","Yavapai","Arizona","AZ",2,"04025"
"113","04027","Yuma","Arizona","AZ",1,"04027"
"114","35031","McKinley","Arizona","AZ",0,"35031"
"115","05001","Arkansas","Arkansas","AR",1,"05001"
"116","05003","Ashley","Arkansas","AR",0,"05003"
"117","05005","Baxter","Arkansas","AR",0,"05005"
"118","05007","Benton","Arkansas","AR",7,"05007"
"119","05009","Boone","Arkansas","AR",0,"05009"
"120","05011","Bradley","Arkansas","AR",0,"05011"
