"","id","population"
"1","AFG",0
"2","ALA",0
"3","ALB",1
"4","DZA",2
"5","ASM",0
"6","AND",0
"7","AGO",0
"8","AIA",0
"9","ATA",0
"10","ATG",1
"11","ARG",20
"12","ARM",3
"13","ABW",0
"14","AUS",34
"15","AUT",31
"16","AZE",0
"17","BHS",0
"18","BHR",1
"19","BGD",55
"20","BRB",0
"21","BLR",3
"22","BEL",19
"23","BLZ",4
"24","BEN",6
"25","BMU",0
"26","BTN",0
"27","BOL",4
"28","BIH",0
"29","BWA",0
"30","BVT",0
"31","BRA",108
"32","IOT",0
"33","BRN",0
"34","BGR",3
"35","BFA",1
"36","BDI",0
"37","KHM",0
"38","CMR",0
"39","CAN",103
"40","CPV",0
"41","CYM",0
"42","CAF",0
"43","TCD",0
"44","CHL",13
"45","CHN",5825
"46","CXR",0
"47","CCK",0
"48","COL",47
"49","COM",0
"50","COG",6
"51","COD",0
"52","COK",0
"53","CRI",7
"54","CIV",0
"55","HRV",3
"56","CUB",0
"57","CYP",2
"58","CZE",2
"59","DNK",5
"60","DJI",0
"61","DMA",0
"62","DOM",9
"63","ECU",24
"64","EGY",31
"65","SLV",4
"66","GNQ",0
"67","ERI",1
"68","EST",0
"69","ETH",1
"70","FLK",0
"71","FRO",0
"72","FJI",0
"73","FIN",2
"74","FRA",40
"75","GUF",0
"76","PYF",0
"77","ATF",0
"78","GAB",0
"79","GMB",0
"80","GEO",2
"81","DEU",36
"82","GHA",10
"83","GIB",0
"84","GRC",22
"85","GRL",0
"86","GRD",0
"87","GLP",0
"88","GUM",0
"89","GTM",5
"90","GGY",0
"91","GIN",0
"92","GNB",0
"93","GUY",0
"94","HTI",2
"95","HMD",0
"96","VAT",0
"97","HND",6
"98","HKG",46
"99","HUN",3
"100","ISL",0
"101","IND",1512
"102","IDN",140
"103","IRN",0
"104","IRQ",0
"105","IRL",9
"106","IMN",0
"107","ISR",8
"108","ITA",52
"109","JAM",1
"110","JPN",57
"111","JEY",0
"112","JOR",19
"113","KAZ",30
"114","KEN",8
"115","KIR",0
"116","PRK",0
"117","KOR",0
"118","KWT",6
"119","KGZ",0
"120","LAO",0
"121","LVA",1
"122","LBN",35
"123","LSO",1
"124","LBR",0
"125","LBY",0
"126","LIE",0
"127","LTU",0
"128","LUX",1
"129","MAC",0
"130","MKD",0
"131","MDG",0
"132","MWI",2
"133","MYS",70
"134","MDV",0
"135","MLI",0
"136","MLT",1
"137","MHL",0
"138","MTQ",0
"139","MRT",0
"140","MUS",0
"141","MYT",0
"142","MEX",47
"143","FSM",0
"144","MDA",0
"145","MCO",0
"146","MNG",3
"147","MNE",0
"148","MSR",0
"149","MAR",2
"150","MOZ",0
"151","MMR",2
"152","NAM",0
"153","NRU",0
"154","NPL",22
"155","NLD",23
"156","ANT",0
"157","NCL",0
"158","NZL",4
"159","NIC",0
"160","NER",0
"161","NGA",51
"162","NIU",0
"163","NFK",0
"164","MNP",0
"165","NOR",1
"166","OMN",0
"167","PAK",57
"168","PLW",0
"169","PSE",0
"170","PAN",6
"171","PNG",0
"172","PRY",3
"173","PER",20
"174","PHL",7
"175","PCN",0
"176","POL",3
"177","PRT",3
"178","PRI",0
"179","QAT",0
"180","REU",0
"181","ROU",8
"182","RUS",26
"183","RWA",0
"184","BLM",0
"185","SHN",0
"186","KNA",0
"187","LCA",0
"188","MAF",0
"189","SPM",0
"190","VCT",0
"191","WSM",0
"192","SMR",0
"193","STP",0
"194","SAU",52
"195","SEN",1
"196","SRB",3
"197","SYC",0
"198","SLE",0
"199","SGP",65
"200","SVK",0
"201","SVN",0
"202","SLB",0
"203","SOM",0
"204","ZAF",6
"205","SGS",0
"206","ESP",98
"207","LKA",18
"208","SDN",0
"209","SUR",0
"210","SJM",0
"211","SWZ",0
"212","SWE",31
"213","CHE",1
"214","SYR",0
"215","TWN",0
"216","TJK",0
"217","TZA",0
"218","THA",56
"219","TLS",1
"220","TGO",0
"221","TKL",0
"222","TON",0
"223","TTO",2
"224","TUN",4
"225","TUR",99
"226","TKM",0
"227","TCA",0
"228","TUV",0
"229","UGA",8
"230","UKR",6
"231","ARE",2
"232","GBR",47
"233","USA",49336
"234","UMI",0
"235","URY",1
"236","UZB",8
"237","VUT",0
"238","VEN",0
"239","VNM",0
"240","VGB",0
"241","VIR",0
"242","WLF",0
"243","ESH",0
"244","YEM",0
"245","ZMB",1
"246","ZWE",1
