"","state_name","state_id","population"
"1","Alabama","AL",61
"2","Alaska","AK",13
"3","American Samoa","AS",0
"4","Arizona","AZ",118
"5","Arkansas","AR",32
"6","California","CA",1833
"7","Colorado","CO",142
"8","Connecticut","CT",148
"9","Delaware","DE",17
"10","District of Columbia","DC",279
"11","Florida","FL",316
"12","Georgia","GA",403
"13","Guam","GU",0
"14","Hawaii","HI",21
"15","Idaho","ID",17
"16","Illinois","IL",32224
"17","Indiana","IN",234
"18","Iowa","IA",286
"19","Kansas","KS",71
"20","Kentucky","KY",243
"21","Louisiana","LA",142
"22","Maine","ME",25
"23","Maryland","MD",258
"24","Massachusetts","MA",232
"25","Michigan","MI",312
"26","Minnesota","MN",246
"27","Mississippi","MS",21
"28","Missouri","MO",237
"29","Montana","MT",12
"30","Nebraska","NE",45
"31","Nevada","NV",27
"32","New Hampshire","NH",32
"33","New Jersey","NJ",510
"34","New Mexico","NM",28
"35","New York","NY",1062
"36","North Carolina","NC",145
"37","North Dakota","ND",7
"38","Northern Mariana Islands","MP",0
"39","Ohio","OH",412
"40","Oklahoma","OK",64
"41","Oregon","OR",67
"42","Pennsylvania","PA",286
"43","Puerto Rico","PR",22
"44","Rhode Island","RI",18
"45","South Carolina","SC",41
"46","South Dakota","SD",22
"47","Tennessee","TN",117
"48","Texas","TX",505
"49","Utah","UT",40
"50","Vermont","VT",27
"51","Virgin Islands","VI",2
"52","Virginia","VA",462
"53","Washington","WA",217
"54","West Virginia","WV",58
"55","Wisconsin","WI",190
"56","Wyoming","WY",13
