"","county_fips","county_name","state_name","population","id"
"1","01001","Autauga","Alabama",0,"01001"
"2","01003","Baldwin","Alabama",1,"01003"
"3","01005","Barbour","Alabama",0,"01005"
"4","01007","Bibb","Alabama",1,"01007"
"5","01009","Blount","Alabama",0,"01009"
"6","01011","Bullock","Alabama",0,"01011"
"7","01013","Butler","Alabama",0,"01013"
"8","01015","Calhoun","Alabama",1,"01015"
"9","01017","Chambers","Alabama",0,"01017"
"10","01019","Cherokee","Alabama",0,"01019"
"11","01021","Chilton","Alabama",0,"01021"
"12","01023","Choctaw","Alabama",0,"01023"
"13","01025","Clarke","Alabama",1,"01025"
"14","01027","Clay","Alabama",0,"01027"
"15","01029","Cleburne","Alabama",0,"01029"
"16","01031","Coffee","Alabama",0,"01031"
"17","01033","Colbert","Alabama",0,"01033"
"18","01035","Conecuh","Alabama",0,"01035"
"19","01037","Coosa","Alabama",0,"01037"
"20","01039","Covington","Alabama",0,"01039"
"21","01041","Crenshaw","Alabama",0,"01041"
"22","01043","Cullman","Alabama",0,"01043"
"23","01045","Dale","Alabama",1,"01045"
"24","01047","Dallas","Alabama",1,"01047"
"25","01049","DeKalb","Alabama",0,"01049"
"26","01051","Elmore","Alabama",0,"01051"
"27","01053","Escambia","Alabama",0,"01053"
"28","01055","Etowah","Alabama",2,"01055"
"29","01057","Fayette","Alabama",0,"01057"
"30","01059","Franklin","Alabama",0,"01059"
"31","01061","Geneva","Alabama",0,"01061"
"32","01063","Greene","Alabama",0,"01063"
"33","01065","Hale","Alabama",0,"01065"
"34","01067","Henry","Alabama",1,"01067"
"35","01069","Houston","Alabama",0,"01069"
"36","01071","Jackson","Alabama",0,"01071"
"37","01073","Jefferson","Alabama",14,"01073"
"38","01075","Lamar","Alabama",0,"01075"
"39","01077","Lauderdale","Alabama",0,"01077"
"40","01079","Lawrence","Alabama",0,"01079"
"41","01081","Lee","Alabama",5,"01081"
"42","01083","Limestone","Alabama",2,"01083"
"43","01085","Lowndes","Alabama",1,"01085"
"44","01087","Macon","Alabama",0,"01087"
"45","01089","Madison","Alabama",8,"01089"
"46","01091","Marengo","Alabama",0,"01091"
"47","01093","Marion","Alabama",0,"01093"
"48","01095","Marshall","Alabama",0,"01095"
"49","01097","Mobile","Alabama",1,"01097"
"50","01099","Monroe","Alabama",0,"01099"
"51","01101","Montgomery","Alabama",9,"01101"
"52","01103","Morgan","Alabama",0,"01103"
"53","01105","Perry","Alabama",0,"01105"
"54","01107","Pickens","Alabama",0,"01107"
"55","01109","Pike","Alabama",0,"01109"
"56","01111","Randolph","Alabama",0,"01111"
"57","01113","Russell","Alabama",0,"01113"
"58","01115","St. Clair","Alabama",1,"01115"
"59","01117","Shelby","Alabama",7,"01117"
"60","01119","Sumter","Alabama",1,"01119"
"61","01121","Talladega","Alabama",1,"01121"
"62","01123","Tallapoosa","Alabama",2,"01123"
"63","01125","Tuscaloosa","Alabama",3,"01125"
"64","01127","Walker","Alabama",0,"01127"
"65","01129","Washington","Alabama",0,"01129"
"66","01131","Wilcox","Alabama",0,"01131"
"67","01133","Winston","Alabama",1,"01133"
"68","02013","Aleutians East","Alaska",0,"02013"
"69","02016","Aleutians West","Alaska",0,"02016"
"70","02020","Anchorage","Alaska",5,"02020"
"71","02050","Bethel","Alaska",1,"02050"
"72","02060","Bristol Bay","Alaska",0,"02060"
"73","02063","Chugach","Alaska",0,"02063"
"74","02066","Copper River","Alaska",0,"02066"
"75","02068","Denali","Alaska",0,"02068"
"76","02070","Dillingham","Alaska",0,"02070"
"77","02090","Fairbanks North Star","Alaska",0,"02090"
"78","02100","Haines","Alaska",0,"02100"
"79","02105","Hoonah-Angoon","Alaska",0,"02105"
"80","02110","Juneau","Alaska",2,"02110"
"81","02122","Kenai Peninsula","Alaska",1,"02122"
"82","02130","Ketchikan Gateway","Alaska",0,"02130"
"83","02150","Kodiak Island","Alaska",0,"02150"
"84","02158","Kusilvak","Alaska",0,"02158"
"85","02164","Lake and Peninsula","Alaska",0,"02164"
"86","02170","Matanuska-Susitna","Alaska",1,"02170"
"87","02180","Nome","Alaska",0,"02180"
"88","02185","North Slope","Alaska",0,"02185"
"89","02188","Northwest Arctic","Alaska",0,"02188"
"90","02195","Petersburg","Alaska",0,"02195"
"91","02198","Prince of Wales-Hyder","Alaska",0,"02198"
"92","02220","Sitka","Alaska",0,"02220"
"93","02230","Skagway","Alaska",0,"02230"
"94","02240","Southeast Fairbanks","Alaska",0,"02240"
"95","02275","Wrangell","Alaska",0,"02275"
"96","02282","Yakutat","Alaska",0,"02282"
"97","02290","Yukon-Koyukuk","Alaska",0,"02290"
"98","60050","Western","American Samoa",0,"60050"
"99","04001","Apache","Arizona",0,"04001"
"100","04003","Cochise","Arizona",1,"04003"
"101","04005","Coconino","Arizona",5,"04005"
"102","04007","Gila","Arizona",0,"04007"
"103","04009","Graham","Arizona",1,"04009"
"104","04011","Greenlee","Arizona",0,"04011"
"105","04012","La Paz","Arizona",0,"04012"
"106","04013","Maricopa","Arizona",123,"04013"
"107","04015","Mohave","Arizona",1,"04015"
"108","04017","Navajo","Arizona",0,"04017"
"109","04019","Pima","Arizona",23,"04019"
"110","04021","Pinal","Arizona",6,"04021"
"111","04023","Santa Cruz","Arizona",1,"04023"
"112","04025","Yavapai","Arizona",1,"04025"
"113","04027","Yuma","Arizona",3,"04027"
"114","35031","McKinley","Arizona",0,"35031"
"115","05001","Arkansas","Arkansas",0,"05001"
"116","05003","Ashley","Arkansas",0,"05003"
"117","05005","Baxter","Arkansas",0,"05005"
"118","05007","Benton","Arkansas",9,"05007"
"119","05009","Boone","Arkansas",0,"05009"
"120","05011","Bradley","Arkansas",0,"05011"
"121","05013","Calhoun","Arkansas",1,"05013"
"122","05015","Carroll","Arkansas",0,"05015"
"123","05017","Chicot","Arkansas",0,"05017"
"124","05019","Clark","Arkansas",0,"05019"
"125","05021","Clay","Arkansas",0,"05021"
"126","05023","Cleburne","Arkansas",3,"05023"
"127","05025","Cleveland","Arkansas",0,"05025"
"128","05027","Columbia","Arkansas",0,"05027"
"129","05029","Conway","Arkansas",1,"05029"
"130","05031","Craighead","Arkansas",0,"05031"
"131","05033","Crawford","Arkansas",0,"05033"
"132","05035","Crittenden","Arkansas",1,"05035"
"133","05037","Cross","Arkansas",0,"05037"
"134","05039","Dallas","Arkansas",0,"05039"
"135","05041","Desha","Arkansas",0,"05041"
"136","05043","Drew","Arkansas",1,"05043"
"137","05045","Faulkner","Arkansas",0,"05045"
"138","05047","Franklin","Arkansas",0,"05047"
"139","05049","Fulton","Arkansas",0,"05049"
"140","05051","Garland","Arkansas",0,"05051"
"141","05053","Grant","Arkansas",0,"05053"
"142","05055","Greene","Arkansas",0,"05055"
"143","05057","Hempstead","Arkansas",0,"05057"
"144","05059","Hot Spring","Arkansas",0,"05059"
"145","05061","Howard","Arkansas",0,"05061"
"146","05063","Independence","Arkansas",1,"05063"
"147","05065","Izard","Arkansas",1,"05065"
"148","05067","Jackson","Arkansas",0,"05067"
"149","05069","Jefferson","Arkansas",1,"05069"
"150","05071","Johnson","Arkansas",0,"05071"
"151","05073","Lafayette","Arkansas",0,"05073"
"152","05075","Lawrence","Arkansas",0,"05075"
