index,zip,city,state_id,state_name,county_name,Total
1,602,Aguada,PR,Puerto Rico,Aguada,1.0
4,610,Anasco,PR,Puerto Rico,Añasco,1.0
28,667,Lajas,PR,Puerto Rico,Lajas,1.0
46,703,Aguas Buenas,PR,Puerto Rico,Aguas Buenas,1.0
58,725,Caguas,PR,Puerto Rico,Caguas,2.0
59,727,Caguas,PR,Puerto Rico,Caguas,2.0
89,791,Humacao,PR,Puerto Rico,Humacao,1.0
100,907,San Juan,PR,Puerto Rico,San Juan,2.0
106,917,San Juan,PR,Puerto Rico,San Juan,1.0
111,924,San Juan,PR,Puerto Rico,San Juan,1.0
113,926,San Juan,PR,Puerto Rico,San Juan,4.0
114,927,San Juan,PR,Puerto Rico,San Juan,1.0
121,956,Bayamon,PR,Puerto Rico,Bayamón,1.0
124,960,Bayamon,PR,Puerto Rico,Bayamón,1.0
125,961,Bayamon,PR,Puerto Rico,Bayamón,1.0
130,969,Guaynabo,PR,Puerto Rico,Guaynabo,3.0
131,971,Guaynabo,PR,Puerto Rico,Guaynabo,1.0
136,985,Carolina,PR,Puerto Rico,Carolina,1.0
137,987,Carolina,PR,Puerto Rico,Carolina,1.0
138,1001,Agawam,MA,Massachusetts,Hampden,3.0
158,1033,Granby,MA,Massachusetts,Hampshire,1.0
190,1085,Westfield,MA,Massachusetts,Hampden,2.0
196,1095,Wilbraham,MA,Massachusetts,Hampden,1.0
197,1096,Williamsburg,MA,Massachusetts,Hampshire,1.0
203,1106,Longmeadow,MA,Massachusetts,Hampden,1.0
213,1201,Pittsfield,MA,Massachusetts,Berkshire,1.0
287,1460,Littleton,MA,Massachusetts,Middlesex,1.0
322,1541,Princeton,MA,Massachusetts,Worcester,1.0
325,1545,Shrewsbury,MA,Massachusetts,Worcester,5.0
336,1581,Westborough,MA,Massachusetts,Worcester,2.0
339,1588,Whitinsville,MA,Massachusetts,Worcester,1.0
340,1590,Sutton,MA,Massachusetts,Worcester,1.0
348,1609,Worcester,MA,Massachusetts,Worcester,1.0
355,1719,Boxborough,MA,Massachusetts,Middlesex,4.0
356,1720,Acton,MA,Massachusetts,Middlesex,9.0
361,1741,Carlisle,MA,Massachusetts,Middlesex,2.0
362,1742,Concord,MA,Massachusetts,Middlesex,1.0
366,1748,Hopkinton,MA,Massachusetts,Middlesex,2.0
372,1760,Natick,MA,Massachusetts,Middlesex,1.0
374,1772,Southborough,MA,Massachusetts,Worcester,1.0
377,1776,Sudbury,MA,Massachusetts,Middlesex,1.0
380,1803,Burlington,MA,Massachusetts,Middlesex,1.0
381,1810,Andover,MA,Massachusetts,Essex,3.0
383,1824,Chelmsford,MA,Massachusetts,Middlesex,3.0
395,1845,North Andover,MA,Massachusetts,Essex,2.0
406,1879,Tyngsboro,MA,Massachusetts,Middlesex,3.0
408,1886,Westford,MA,Massachusetts,Middlesex,1.0
419,1915,Beverly,MA,Massachusetts,Essex,1.0
429,1945,Marblehead,MA,Massachusetts,Essex,1.0
430,1949,Middleton,MA,Massachusetts,Essex,1.0
431,1950,Newburyport,MA,Massachusetts,Essex,1.0
446,2026,Dedham,MA,Massachusetts,Norfolk,1.0
447,2030,Dover,MA,Massachusetts,Norfolk,1.0
454,2048,Mansfield,MA,Massachusetts,Bristol,1.0
456,2052,Medfield,MA,Massachusetts,Norfolk,2.0
457,2053,Medway,MA,Massachusetts,Norfolk,1.0
