"","state_name","state_id","population"
"1","Alabama","AL",60
"2","Alaska","AK",11
"3","American Samoa","AS",0
"4","Arizona","AZ",129
"5","Arkansas","AR",35
"6","California","CA",2153
"7","Colorado","CO",165
"8","Connecticut","CT",157
"9","Delaware","DE",18
"10","District of Columbia","DC",266
"11","Florida","FL",349
"12","Georgia","GA",426
"13","Guam","GU",0
"14","Hawaii","HI",20
"15","Idaho","ID",18
"16","Illinois","IL",32929
"17","Indiana","IN",233
"18","Iowa","IA",281
"19","Kansas","KS",61
"20","Kentucky","KY",235
"21","Louisiana","LA",158
"22","Maine","ME",35
"23","Maryland","MD",309
"24","Massachusetts","MA",266
"25","Michigan","MI",344
"26","Minnesota","MN",266
"27","Mississippi","MS",17
"28","Missouri","MO",266
"29","Montana","MT",12
"30","Nebraska","NE",54
"31","Nevada","NV",29
"32","New Hampshire","NH",30
"33","New Jersey","NJ",568
"34","New Mexico","NM",35
"35","New York","NY",1106
"36","North Carolina","NC",194
"37","North Dakota","ND",8
"38","Northern Mariana Islands","MP",0
"39","Ohio","OH",429
"40","Oklahoma","OK",61
"41","Oregon","OR",95
"42","Pennsylvania","PA",336
"43","Puerto Rico","PR",27
"44","Rhode Island","RI",19
"45","South Carolina","SC",41
"46","South Dakota","SD",29
"47","Tennessee","TN",139
"48","Texas","TX",611
"49","Utah","UT",55
"50","Vermont","VT",22
"51","Virgin Islands","VI",0
"52","Virginia","VA",541
"53","Washington","WA",266
"54","West Virginia","WV",71
"55","Wisconsin","WI",200
"56","Wyoming","WY",13
