"","id","county_name","state_name","population"
"1","01003","Baldwin","Alabama",1
"2","01009","Blount","Alabama",2
"3","01015","Calhoun","Alabama",1
"4","01031","Coffee","Alabama",1
"5","01045","Dale","Alabama",1
"6","01047","Dallas","Alabama",1
"7","01059","Franklin","Alabama",1
"8","01069","Houston","Alabama",1
"9","01071","Jackson","Alabama",1
"10","01073","Jefferson","Alabama",13
"11","01081","Lee","Alabama",5
"12","01083","Limestone","Alabama",2
"13","01087","Macon","Alabama",1
"14","01089","Madison","Alabama",8
"15","01097","Mobile","Alabama",2
"16","01101","Montgomery","Alabama",6
"17","01105","Perry","Alabama",1
"18","01117","Shelby","Alabama",10
"19","01119","Sumter","Alabama",1
"20","01123","Tallapoosa","Alabama",6
"21","01125","Tuscaloosa","Alabama",2
"22","01133","Winston","Alabama",1
"23","02020","Anchorage","Alaska",7
"24","02090","Fairbanks North Star","Alaska",1
"25","02230","Skagway","Alaska",1
"26","04003","Cochise","Arizona",4
"27","04005","Coconino","Arizona",2
"28","04013","Maricopa","Arizona",138
"29","04017","Navajo","Arizona",1
"30","04019","Pima","Arizona",24
"31","04021","Pinal","Arizona",4
"32","04025","Yavapai","Arizona",2
"33","04027","Yuma","Arizona",1
"34","05001","Arkansas","Arkansas",1
"35","05007","Benton","Arkansas",7
"36","05013","Calhoun","Arkansas",1
"37","05021","Clay","Arkansas",1
"38","05023","Cleburne","Arkansas",4
"39","05029","Conway","Arkansas",1
"40","05031","Craighead","Arkansas",2
"41","05043","Drew","Arkansas",1
"42","05047","Franklin","Arkansas",1
"43","05051","Garland","Arkansas",1
"44","05063","Independence","Arkansas",3
"45","05065","Izard","Arkansas",1
"46","05069","Jefferson","Arkansas",1
"47","05075","Lawrence","Arkansas",1
"48","05087","Madison","Arkansas",1
"49","05097","Montgomery","Arkansas",1
"50","05119","Pulaski","Arkansas",6
"51","05125","Saline","Arkansas",1
"52","05143","Washington","Arkansas",5
"53","05145","White","Arkansas",1
"54","06001","Alameda","California",394
"55","06007","Butte","California",1
"56","06013","Contra Costa","California",159
"57","06017","El Dorado","California",7
"58","06019","Fresno","California",14
"59","06029","Kern","California",9
"60","06035","Lassen","California",1
"61","06037","Los Angeles","California",357
"62","06039","Madera","California",3
"63","06041","Marin","California",14
"64","06045","Mendocino","California",1
"65","06047","Merced","California",2
"66","06053","Monterey","California",12
"67","06055","Napa","California",2
"68","06057","Nevada","California",1
"69","06059","Orange","California",243
"70","06061","Placer","California",18
"71","06065","Riverside","California",34
"72","06067","Sacramento","California",51
"73","06071","San Bernardino","California",36
"74","06073","San Diego","California",195
"75","06075","San Francisco","California",77
"76","06077","San Joaquin","California",20
"77","06079","San Luis Obispo","California",9
"78","06081","San Mateo","California",102
"79","06083","Santa Barbara","California",13
"80","06085","Santa Clara","California",882
"81","06087","Santa Cruz","California",10
"82","06089","Shasta","California",1
"83","06095","Solano","California",2
"84","06097","Sonoma","California",9
"85","06099","Stanislaus","California",4
"86","06101","Sutter","California",3
"87","06107","Tulare","California",4
"88","06111","Ventura","California",30
"89","06113","Yolo","California",12
"90","08001","Adams","Colorado",11
"91","08005","Arapahoe","Colorado",31
"92","08013","Boulder","Colorado",18
"93","08014","Broomfield","Colorado",6
"94","08019","Clear Creek","Colorado",2
"95","08031","Denver","Colorado",35
"96","08035","Douglas","Colorado",23
"97","08037","Eagle","Colorado",1
"98","08041","El Paso","Colorado",11
"99","08059","Jefferson","Colorado",22
"100","08067","La Plata","Colorado",2
"101","08069","Larimer","Colorado",11
"102","08073","Lincoln","Colorado",1
"103","08081","Moffat","Colorado",1
"104","08089","Otero","Colorado",2
"105","08105","Rio Grande","Colorado",1
"106","08107","Routt","Colorado",1
"107","08123","Weld","Colorado",10
"108","09001","Fairfield","Connecticut",53
"109","09003","Hartford","Connecticut",47
"110","09005","Litchfield","Connecticut",6
"111","09007","Middlesex","Connecticut",3
"112","09009","New Haven","Connecticut",33
"113","09011","New London","Connecticut",13
"114","09013","Tolland","Connecticut",9
"115","09015","Windham","Connecticut",11
"116","10003","New Castle","Delaware",23
"117","10005","Sussex","Delaware",3
"118","11001","District of Columbia","District of Columbia",250
"119","12001","Alachua","Florida",14
"120","12003","Baker","Florida",3
"121","12005","Bay","Florida",6
"122","12009","Brevard","Florida",12
"123","12011","Broward","Florida",51
"124","12013","Calhoun","Florida",3
"125","12017","Citrus","Florida",1
"126","12019","Clay","Florida",3
"127","12021","Collier","Florida",6
"128","12023","Columbia","Florida",1
"129","12031","Duval","Florida",31
"130","12033","Escambia","Florida",13
"131","12035","Flagler","Florida",1
"132","12047","Hamilton","Florida",1
"133","12055","Highlands","Florida",1
"134","12057","Hillsborough","Florida",36
"135","12061","Indian River","Florida",1
"136","12063","Jackson","Florida",5
"137","12067","Lafayette","Florida",1
"138","12069","Lake","Florida",4
"139","12071","Lee","Florida",10
"140","12073","Leon","Florida",7
"141","12077","Liberty","Florida",1
"142","12079","Madison","Florida",2
"143","12081","Manatee","Florida",13
"144","12083","Marion","Florida",2
"145","12085","Martin","Florida",1
"146","12086","Miami-Dade","Florida",56
"147","12087","Monroe","Florida",2
"148","12089","Nassau","Florida",3
"149","12091","Okaloosa","Florida",8
"150","12095","Orange","Florida",34
"151","12097","Osceola","Florida",12
"152","12099","Palm Beach","Florida",38
"153","12101","Pasco","Florida",5
"154","12103","Pinellas","Florida",18
"155","12105","Polk","Florida",7
"156","12107","Putnam","Florida",1
"157","12109","St. Johns","Florida",13
"158","12111","St. Lucie","Florida",3
"159","12113","Santa Rosa","Florida",2
"160","12115","Sarasota","Florida",7
"161","12117","Seminole","Florida",23
"162","12127","Volusia","Florida",11
"163","12131","Walton","Florida",2
"164","12133","Washington","Florida",1
"165","13005","Bacon","Georgia",10
"166","13013","Barrow","Georgia",3
"167","13017","Ben Hill","Georgia",3
"168","13021","Bibb","Georgia",1
"169","13023","Bleckley","Georgia",1
"170","13029","Bryan","Georgia",2
"171","13031","Bulloch","Georgia",2
"172","13039","Camden","Georgia",1
"173","13045","Carroll","Georgia",2
"174","13047","Catoosa","Georgia",1
"175","13051","Chatham","Georgia",9
"176","13053","Chattahoochee","Georgia",1
"177","13057","Cherokee","Georgia",8
"178","13059","Clarke","Georgia",2
"179","13063","Clayton","Georgia",2
"180","13067","Cobb","Georgia",37
"181","13069","Coffee","Georgia",1
"182","13073","Columbia","Georgia",1
"183","13077","Coweta","Georgia",4
"184","13079","Crawford","Georgia",3
"185","13089","DeKalb","Georgia",52
"186","13091","Dodge","Georgia",1
"187","13097","Douglas","Georgia",1
"188","13107","Emanuel","Georgia",15
"189","13113","Fayette","Georgia",11
"190","13115","Floyd","Georgia",1
"191","13117","Forsyth","Georgia",16
"192","13119","Franklin","Georgia",1
"193","13121","Fulton","Georgia",105
