index,zip,city,state_id,state_name,county_name,Total
2583,10001,New York,NY,New York,New York,35.0
2584,10002,New York,NY,New York,New York,90.0
2585,10003,New York,NY,New York,New York,45.0
2586,10004,New York,NY,New York,New York,42.0
2587,10005,New York,NY,New York,New York,21.0
2588,10006,New York,NY,New York,New York,18.0
2589,10007,New York,NY,New York,New York,44.0
2590,10009,New York,NY,New York,New York,60.0
2591,10010,New York,NY,New York,New York,44.0
2593,10012,New York,NY,New York,New York,13.0
2595,10014,New York,NY,New York,New York,10.0
2596,10016,New York,NY,New York,New York,9.0
2597,10017,New York,NY,New York,New York,8.0
2598,10018,New York,NY,New York,New York,2.0
2599,10019,New York,NY,New York,New York,36.0
2600,10020,New York,NY,New York,New York,1.0
2603,10023,New York,NY,New York,New York,3.0
2604,10024,New York,NY,New York,New York,3.0
2605,10025,New York,NY,New York,New York,2.0
2606,10026,New York,NY,New York,New York,1.0
2607,10027,New York,NY,New York,New York,3.0
2608,10028,New York,NY,New York,New York,1.0
2614,10034,New York,NY,New York,New York,1.0
2615,10035,New York,NY,New York,New York,1.0
2616,10036,New York,NY,New York,New York,3.0
2621,10044,New York,NY,New York,New York,2.0
2622,10065,New York,NY,New York,New York,2.0
2624,10075,New York,NY,New York,New York,3.0
2626,10110,New York,NY,New York,New York,13.0
2627,10111,New York,NY,New York,New York,2.0
2628,10112,New York,NY,New York,New York,1.0
2630,10119,New York,NY,New York,New York,1.0
2631,10128,New York,NY,New York,New York,3.0
2640,10170,New York,NY,New York,New York,1.0
2650,10280,New York,NY,New York,New York,2.0
2651,10282,New York,NY,New York,New York,1.0
2658,10307,Staten Island,NY,New York,Richmond,1.0
2661,10310,Staten Island,NY,New York,Richmond,1.0
2663,10312,Staten Island,NY,New York,Richmond,1.0
2664,10314,Staten Island,NY,New York,Richmond,1.0
2668,10454,Bronx,NY,New York,Bronx,1.0
2676,10462,Bronx,NY,New York,Bronx,2.0
2677,10463,Bronx,NY,New York,Bronx,2.0
2678,10464,Bronx,NY,New York,Bronx,1.0
2680,10466,Bronx,NY,New York,Bronx,2.0
2682,10468,Bronx,NY,New York,Bronx,1.0
2683,10469,Bronx,NY,New York,Bronx,1.0
2684,10470,Bronx,NY,New York,Bronx,2.0
2688,10474,Bronx,NY,New York,Bronx,1.0
2693,10504,Armonk,NY,New York,Westchester,3.0
2695,10506,Bedford,NY,New York,Westchester,2.0
2698,10510,Briarcliff Manor,NY,New York,Westchester,5.0
2701,10514,Chappaqua,NY,New York,Westchester,3.0
2707,10522,Dobbs Ferry,NY,New York,Westchester,1.0
2713,10530,Hartsdale,NY,New York,Westchester,2.0
2715,10533,Irvington,NY,New York,Westchester,2.0
2719,10538,Larchmont,NY,New York,Westchester,1.0
2720,10540,Lincolndale,NY,New York,Westchester,3.0
2723,10543,Mamaroneck,NY,New York,Westchester,1.0
2728,10549,Mount Kisco,NY,New York,Westchester,3.0
2732,10560,North Salem,NY,New York,Westchester,1.0
2733,10562,Ossining,NY,New York,Westchester,1.0
2735,10567,Cortlandt Manor,NY,New York,Westchester,3.0
2738,10576,Pound Ridge,NY,New York,Westchester,1.0
2743,10583,Scarsdale,NY,New York,Westchester,10.0
2746,10590,South Salem,NY,New York,Westchester,1.0
2752,10598,Yorktown Heights,NY,New York,Westchester,1.0
2753,10601,White Plains,NY,New York,Westchester,1.0
2754,10603,White Plains,NY,New York,Westchester,3.0
2755,10604,West Harrison,NY,New York,Westchester,1.0
2756,10605,White Plains,NY,New York,Westchester,2.0
2757,10606,White Plains,NY,New York,Westchester,1.0
2759,10701,Yonkers,NY,New York,Westchester,1.0
2760,10703,Yonkers,NY,New York,Westchester,1.0
2765,10708,Bronxville,NY,New York,Westchester,1.0
2767,10710,Yonkers,NY,New York,Westchester,1.0
2772,10901,Suffern,NY,New York,Rockland,3.0
2782,10920,Congers,NY,New York,Rockland,1.0
2788,10926,Harriman,NY,New York,Orange,1.0
2795,10940,Middletown,NY,New York,Orange,1.0
2797,10950,Monroe,NY,New York,Orange,3.0
2800,10954,Nanuet,NY,New York,Rockland,1.0
2801,10956,New City,NY,New York,Rockland,3.0
2803,10960,Nyack,NY,New York,Rockland,2.0
2810,10970,Pomona,NY,New York,Rockland,1.0
2815,10977,Spring Valley,NY,New York,Rockland,1.0
2825,10990,Warwick,NY,New York,Orange,1.0
2828,10994,West Nyack,NY,New York,Rockland,2.0
2831,11001,Floral Park,NY,New York,Nassau,40.0
2832,11003,Elmont,NY,New York,Nassau,12.0
2833,11004,Glen Oaks,NY,New York,Queens,15.0
2834,11005,Floral Park,NY,New York,Queens,11.0
2835,11010,Franklin Square,NY,New York,Nassau,3.0
2836,11020,Great Neck,NY,New York,Nassau,2.0
2837,11021,Great Neck,NY,New York,Nassau,6.0
2838,11023,Great Neck,NY,New York,Nassau,2.0
2840,11030,Manhasset,NY,New York,Nassau,2.0
2841,11040,New Hyde Park,NY,New York,Nassau,3.0
2843,11050,Port Washington,NY,New York,Nassau,1.0
2845,11101,Long Island City,NY,New York,Queens,3.0
2846,11102,Astoria,NY,New York,Queens,1.0
2847,11103,Astoria,NY,New York,Queens,2.0
2848,11104,Sunnyside,NY,New York,Queens,2.0
2849,11105,Astoria,NY,New York,Queens,2.0
2850,11106,Astoria,NY,New York,Queens,2.0
2851,11109,Long Island City,NY,New York,Queens,1.0
2852,11201,Brooklyn,NY,New York,Kings,5.0
2854,11204,Brooklyn,NY,New York,Kings,2.0
2857,11207,Brooklyn,NY,New York,Kings,1.0
2861,11211,Brooklyn,NY,New York,Kings,3.0
2863,11213,Brooklyn,NY,New York,Kings,1.0
2864,11214,Brooklyn,NY,New York,Kings,6.0
2865,11215,Brooklyn,NY,New York,Kings,2.0
2866,11216,Brooklyn,NY,New York,Kings,1.0
2868,11218,Brooklyn,NY,New York,Kings,1.0
2869,11219,Brooklyn,NY,New York,Kings,1.0
2870,11220,Brooklyn,NY,New York,Kings,2.0
2871,11221,Brooklyn,NY,New York,Kings,1.0
2875,11225,Brooklyn,NY,New York,Kings,1.0
2876,11226,Brooklyn,NY,New York,Kings,4.0
2878,11229,Brooklyn,NY,New York,Kings,3.0
2883,11234,Brooklyn,NY,New York,Kings,1.0
2884,11235,Brooklyn,NY,New York,Kings,2.0
2885,11236,Brooklyn,NY,New York,Kings,3.0
2890,11354,Flushing,NY,New York,Queens,4.0
2891,11355,Flushing,NY,New York,Queens,6.0
2892,11356,College Point,NY,New York,Queens,1.0
2893,11357,Whitestone,NY,New York,Queens,1.0
2896,11360,Bayside,NY,New York,Queens,2.0
2897,11361,Bayside,NY,New York,Queens,2.0
2900,11364,Oakland Gardens,NY,New York,Queens,6.0
2901,11365,Fresh Meadows,NY,New York,Queens,1.0
2902,11366,Fresh Meadows,NY,New York,Queens,1.0
2908,11372,Jackson Heights,NY,New York,Queens,1.0
2909,11373,Elmhurst,NY,New York,Queens,2.0
2910,11374,Rego Park,NY,New York,Queens,2.0
2911,11375,Forest Hills,NY,New York,Queens,5.0
2913,11378,Maspeth,NY,New York,Queens,2.0
2914,11379,Middle Village,NY,New York,Queens,1.0
2915,11385,Ridgewood,NY,New York,Queens,1.0
2918,11413,Springfield Gardens,NY,New York,Queens,1.0
2920,11415,Kew Gardens,NY,New York,Queens,2.0
2921,11416,Ozone Park,NY,New York,Queens,1.0
2922,11417,Ozone Park,NY,New York,Queens,1.0
2924,11419,South Richmond Hill,NY,New York,Queens,1.0
2926,11421,Woodhaven,NY,New York,Queens,2.0
2927,11422,Rosedale,NY,New York,Queens,1.0
2928,11423,Hollis,NY,New York,Queens,1.0
2930,11426,Bellerose,NY,New York,Queens,3.0
2935,11432,Jamaica,NY,New York,Queens,1.0
2936,11433,Jamaica,NY,New York,Queens,1.0
2941,11451,Jamaica,NY,New York,Queens,1.0
2942,11501,Mineola,NY,New York,Nassau,1.0
2945,11510,Baldwin,NY,New York,Nassau,1.0
2949,11520,Freeport,NY,New York,Nassau,2.0
2950,11530,Garden City,NY,New York,Nassau,1.0
2951,11542,Glen Cove,NY,New York,Nassau,1.0
2954,11548,Greenvale,NY,New York,Nassau,1.0
2961,11557,Hewlett,NY,New York,Nassau,1.0
2962,11558,Island Park,NY,New York,Nassau,1.0
2963,11559,Lawrence,NY,New York,Nassau,1.0
2965,11561,Long Beach,NY,New York,Nassau,1.0
2967,11565,Malverne,NY,New York,Nassau,1.0
2969,11568,Old Westbury,NY,New York,Nassau,1.0
2970,11569,Point Lookout,NY,New York,Nassau,2.0
2971,11570,Rockville Centre,NY,New York,Nassau,1.0
2972,11572,Oceanside,NY,New York,Nassau,1.0
2974,11576,Roslyn,NY,New York,Nassau,1.0
2975,11577,Roslyn Heights,NY,New York,Nassau,1.0
