index,zip,city,state_id,state_name,county_name,Total
2583,10001,New York,NY,New York,New York,37.0
2584,10002,New York,NY,New York,New York,90.0
2585,10003,New York,NY,New York,New York,42.0
2586,10004,New York,NY,New York,New York,26.0
2587,10005,New York,NY,New York,New York,27.0
2588,10006,New York,NY,New York,New York,39.0
2589,10007,New York,NY,New York,New York,36.0
2590,10009,New York,NY,New York,New York,38.0
2591,10010,New York,NY,New York,New York,35.0
2592,10011,New York,NY,New York,New York,1.0
2593,10012,New York,NY,New York,New York,13.0
2595,10014,New York,NY,New York,New York,6.0
2596,10016,New York,NY,New York,New York,6.0
2597,10017,New York,NY,New York,New York,5.0
2599,10019,New York,NY,New York,New York,35.0
2604,10024,New York,NY,New York,New York,1.0
2605,10025,New York,NY,New York,New York,3.0
2607,10027,New York,NY,New York,New York,2.0
2612,10032,New York,NY,New York,New York,1.0
2618,10038,New York,NY,New York,New York,3.0
2624,10075,New York,NY,New York,New York,2.0
2626,10110,New York,NY,New York,New York,16.0
2628,10112,New York,NY,New York,New York,1.0
2631,10128,New York,NY,New York,New York,2.0
2651,10282,New York,NY,New York,New York,1.0
2654,10303,Staten Island,NY,New York,Richmond,1.0
2656,10305,Staten Island,NY,New York,Richmond,2.0
2659,10308,Staten Island,NY,New York,Richmond,2.0
2661,10310,Staten Island,NY,New York,Richmond,2.0
2663,10312,Staten Island,NY,New York,Richmond,2.0
2664,10314,Staten Island,NY,New York,Richmond,3.0
2670,10456,Bronx,NY,New York,Bronx,1.0
2672,10458,Bronx,NY,New York,Bronx,1.0
2675,10461,Bronx,NY,New York,Bronx,1.0
2676,10462,Bronx,NY,New York,Bronx,3.0
2677,10463,Bronx,NY,New York,Bronx,1.0
2680,10466,Bronx,NY,New York,Bronx,1.0
2682,10468,Bronx,NY,New York,Bronx,1.0
2686,10472,Bronx,NY,New York,Bronx,1.0
2691,10502,Ardsley,NY,New York,Westchester,1.0
2695,10506,Bedford,NY,New York,Westchester,5.0
2697,10509,Brewster,NY,New York,Putnam,1.0
2698,10510,Briarcliff Manor,NY,New York,Westchester,2.0
2708,10523,Elmsford,NY,New York,Westchester,1.0
2713,10530,Hartsdale,NY,New York,Westchester,2.0
2715,10533,Irvington,NY,New York,Westchester,1.0
2719,10538,Larchmont,NY,New York,Westchester,2.0
2720,10540,Lincolndale,NY,New York,Westchester,1.0
2723,10543,Mamaroneck,NY,New York,Westchester,1.0
2728,10549,Mount Kisco,NY,New York,Westchester,1.0
2731,10553,Mount Vernon,NY,New York,Westchester,1.0
2732,10560,North Salem,NY,New York,Westchester,2.0
2733,10562,Ossining,NY,New York,Westchester,1.0
2736,10570,Pleasantville,NY,New York,Westchester,1.0
2742,10580,Rye,NY,New York,Westchester,1.0
2743,10583,Scarsdale,NY,New York,Westchester,2.0
2746,10590,South Salem,NY,New York,Westchester,1.0
2747,10591,Tarrytown,NY,New York,Westchester,1.0
2752,10598,Yorktown Heights,NY,New York,Westchester,3.0
2765,10708,Bronxville,NY,New York,Westchester,1.0
2766,10709,Eastchester,NY,New York,Westchester,1.0
2769,10803,Pelham,NY,New York,Westchester,1.0
2772,10901,Suffern,NY,New York,Rockland,2.0
2775,10913,Blauvelt,NY,New York,Rockland,1.0
2782,10920,Congers,NY,New York,Rockland,2.0
2787,10925,Greenwood Lake,NY,New York,Orange,1.0
2797,10950,Monroe,NY,New York,Orange,1.0
2800,10954,Nanuet,NY,New York,Rockland,1.0
2801,10956,New City,NY,New York,Rockland,2.0
2803,10960,Nyack,NY,New York,Rockland,1.0
2809,10969,Pine Island,NY,New York,Orange,1.0
2828,10994,West Nyack,NY,New York,Rockland,1.0
2831,11001,Floral Park,NY,New York,Nassau,22.0
2832,11003,Elmont,NY,New York,Nassau,24.0
2833,11004,Glen Oaks,NY,New York,Queens,17.0
2834,11005,Floral Park,NY,New York,Queens,3.0
2836,11020,Great Neck,NY,New York,Nassau,7.0
2837,11021,Great Neck,NY,New York,Nassau,6.0
2840,11030,Manhasset,NY,New York,Nassau,1.0
2841,11040,New Hyde Park,NY,New York,Nassau,2.0
2843,11050,Port Washington,NY,New York,Nassau,1.0
2846,11102,Astoria,NY,New York,Queens,1.0
2848,11104,Sunnyside,NY,New York,Queens,1.0
2850,11106,Astoria,NY,New York,Queens,2.0
2852,11201,Brooklyn,NY,New York,Kings,2.0
2854,11204,Brooklyn,NY,New York,Kings,2.0
2858,11208,Brooklyn,NY,New York,Kings,2.0
2859,11209,Brooklyn,NY,New York,Kings,3.0
2864,11214,Brooklyn,NY,New York,Kings,3.0
2865,11215,Brooklyn,NY,New York,Kings,2.0
2868,11218,Brooklyn,NY,New York,Kings,2.0
2869,11219,Brooklyn,NY,New York,Kings,2.0
2870,11220,Brooklyn,NY,New York,Kings,2.0
2871,11221,Brooklyn,NY,New York,Kings,2.0
2874,11224,Brooklyn,NY,New York,Kings,1.0
2878,11229,Brooklyn,NY,New York,Kings,1.0
2880,11231,Brooklyn,NY,New York,Kings,1.0
2884,11235,Brooklyn,NY,New York,Kings,1.0
2885,11236,Brooklyn,NY,New York,Kings,1.0
2886,11237,Brooklyn,NY,New York,Kings,1.0
2887,11238,Brooklyn,NY,New York,Kings,1.0
2890,11354,Flushing,NY,New York,Queens,3.0
2891,11355,Flushing,NY,New York,Queens,2.0
2892,11356,College Point,NY,New York,Queens,2.0
2893,11357,Whitestone,NY,New York,Queens,1.0
2896,11360,Bayside,NY,New York,Queens,2.0
2897,11361,Bayside,NY,New York,Queens,1.0
2898,11362,Little Neck,NY,New York,Queens,3.0
2899,11363,Little Neck,NY,New York,Queens,1.0
2900,11364,Oakland Gardens,NY,New York,Queens,3.0
2901,11365,Fresh Meadows,NY,New York,Queens,1.0
2902,11366,Fresh Meadows,NY,New York,Queens,4.0
2903,11367,Flushing,NY,New York,Queens,1.0
2904,11368,Corona,NY,New York,Queens,1.0
2908,11372,Jackson Heights,NY,New York,Queens,1.0
2909,11373,Elmhurst,NY,New York,Queens,4.0
2910,11374,Rego Park,NY,New York,Queens,4.0
2911,11375,Forest Hills,NY,New York,Queens,8.0
2912,11377,Woodside,NY,New York,Queens,2.0
2913,11378,Maspeth,NY,New York,Queens,2.0
2923,11418,Richmond Hill,NY,New York,Queens,1.0
2925,11420,South Ozone Park,NY,New York,Queens,1.0
2926,11421,Woodhaven,NY,New York,Queens,2.0
2927,11422,Rosedale,NY,New York,Queens,1.0
2928,11423,Hollis,NY,New York,Queens,1.0
2931,11427,Queens Village,NY,New York,Queens,1.0
2935,11432,Jamaica,NY,New York,Queens,1.0
2941,11451,Jamaica,NY,New York,Queens,1.0
2943,11507,Albertson,NY,New York,Nassau,1.0
2945,11510,Baldwin,NY,New York,Nassau,1.0
2949,11520,Freeport,NY,New York,Nassau,7.0
2950,11530,Garden City,NY,New York,Nassau,2.0
2954,11548,Greenvale,NY,New York,Nassau,1.0
2959,11554,East Meadow,NY,New York,Nassau,2.0
2960,11556,Uniondale,NY,New York,Nassau,1.0
2961,11557,Hewlett,NY,New York,Nassau,1.0
2966,11563,Lynbrook,NY,New York,Nassau,1.0
2969,11568,Old Westbury,NY,New York,Nassau,1.0
2971,11570,Rockville Centre,NY,New York,Nassau,1.0
2974,11576,Roslyn,NY,New York,Nassau,6.0
2975,11577,Roslyn Heights,NY,New York,Nassau,2.0
2977,11580,Valley Stream,NY,New York,Nassau,1.0
2979,11590,Westbury,NY,New York,Nassau,2.0
2980,11596,Williston Park,NY,New York,Nassau,1.0
2985,11694,Rockaway Park,NY,New York,Queens,1.0
2988,11702,Babylon,NY,New York,Suffolk,1.0
2994,11710,Bellmore,NY,New York,Nassau,3.0
3002,11720,Centereach,NY,New York,Suffolk,2.0
3013,11733,East Setauket,NY,New York,Suffolk,3.0
3020,11743,Huntington,NY,New York,Suffolk,2.0
3021,11746,Huntington Station,NY,New York,Suffolk,1.0
3023,11749,Islandia,NY,New York,Suffolk,1.0
3026,11753,Jericho,NY,New York,Nassau,1.0
3031,11758,Massapequa,NY,New York,Nassau,1.0
3042,11772,Patchogue,NY,New York,Suffolk,1.0
3046,11779,Ronkonkoma,NY,New York,Suffolk,1.0
3053,11788,Hauppauge,NY,New York,Suffolk,1.0
3055,11790,Stony Brook,NY,New York,Suffolk,3.0
3056,11791,Syosset,NY,New York,Nassau,4.0
3062,11797,Woodbury,NY,New York,Nassau,2.0
3066,11804,Old Bethpage,NY,New York,Nassau,2.0
3071,11933,Calverton,NY,New York,Suffolk,1.0
3084,11950,Mastic,NY,New York,Suffolk,1.0
3095,11961,Ridge,NY,New York,Suffolk,1.0
3130,12035,Central Bridge,NY,New York,Schoharie,1.0
3132,12037,Chatham,NY,New York,Columbia,1.0
3143,12054,Delmar,NY,New York,Albany,1.0
3153,12065,Clifton Park,NY,New York,Saratoga,3.0
3163,12076,Gilboa,NY,New York,Schoharie,1.0
3164,12077,Glenmont,NY,New York,Albany,1.0
3165,12078,Gloversville,NY,New York,Fulton,1.0
3166,12082,Grafton,NY,New York,Rensselaer,1.0
3176,12095,Johnstown,NY,New York,Fulton,1.0
3179,12110,Latham,NY,New York,Albany,2.0
3184,12120,Medusa,NY,New York,Albany,2.0
3192,12132,North Chatham,NY,New York,Columbia,1.0
3204,12150,Rotterdam Junction,NY,New York,Schenectady,1.0
3213,12160,Sloansville,NY,New York,Schoharie,1.0
3228,12180,Troy,NY,New York,Rensselaer,2.0
3233,12186,Voorheesville,NY,New York,Albany,1.0
3246,12203,Albany,NY,New York,Albany,1.0
3250,12207,Albany,NY,New York,Albany,1.0
3261,12306,Schenectady,NY,New York,Schenectady,1.0
3264,12309,Schenectady,NY,New York,Schenectady,5.0
3265,12401,Kingston,NY,New York,Ulster,1.0
3272,12411,Bloomington,NY,New York,Ulster,2.0
3293,12435,Greenfield Park,NY,New York,Ulster,1.0
3302,12446,Kerhonkson,NY,New York,Ulster,1.0
3305,12450,Lanesville,NY,New York,Greene,1.0
3329,12477,Saugerties,NY,New York,Ulster,1.0
3364,12524,Fishkill,NY,New York,Dutchess,1.0
3375,12540,Lagrangeville,NY,New York,Dutchess,2.0
3384,12550,Newburgh,NY,New York,Orange,1.0
