zipCode,population,year
0,81,2022
5,1,2022
100,3,2022
133,1,2022
199,1,2022
217,1,2022
229,1,2022
233,3,2022
250,1,2022
263,1,2022
265,1,2022
267,1,2022
320,1,2022
330,1,2022
400,1,2022
606,1,2022
622,1,2022
627,1,2022
641,1,2022
646,2,2022
652,1,2022
659,1,2022
678,1,2022
680,1,2022
727,2,2022
736,1,2022
777,1,2022
780,1,2022
784,1,2022
795,1,2022
852,1,2022
907,1,2022
909,1,2022
917,1,2022
920,1,2022
923,1,2022
924,2,2022
926,4,2022
957,1,2022
959,1,2022
969,1,2022
971,1,2022
973,1,2022
976,1,2022
983,1,2022
987,1,2022
1000,7,2022
1001,14,2022
1002,6,2022
1005,1,2022
1010,3,2022
1011,1,2022
1014,2,2022
1020,1,2022
1033,2,2022
1038,1,2022
1040,1,2022
1042,1,2022
1060,1,2022
1062,1,2022
1080,1,2022
1093,1,2022
1106,1,2022
1198,1,2022
1201,1,2022
1216,1,2022
1245,1,2022
1254,1,2022
1262,1,2022
1280,1,2022
1354,1,2022
1375,1,2022
1401,1,2022
1403,3,2022
1404,2,2022
1453,1,2022
1463,1,2022
1500,1,2022
1502,1,2022
1503,1,2022
1510,1,2022
1527,1,2022
1532,3,2022
1545,7,2022
1562,1,2022
1568,1,2022
1581,6,2022
1600,1,2022
1604,1,2022
1609,1,2022
1663,1,2022
1700,1,2022
1701,2,2022
1706,1,2022
1715,1,2022
1719,4,2022
1720,14,2022
1721,3,2022
1728,1,2022
1730,3,2022
1740,2,2022
1741,2,2022
1742,3,2022
1745,1,2022
1746,2,2022
1747,1,2022
1748,5,2022
1752,2,2022
1754,1,2022
1756,1,2022
1775,1,2022
1776,3,2022
1778,2,2022
1792,1,2022
1801,2,2022
1808,1,2022
1809,1,2022
1810,8,2022
1821,1,2022
1824,3,2022
1827,1,2022
1830,1,2022
1845,5,2022
1867,1,2022
1876,1,2022
1886,11,2022
1887,2,2022
1890,3,2022
1907,1,2022
1915,1,2022
1930,1,2022
1940,1,2022
1950,1,2022
1970,1,2022
2000,3,2022
2006,1,2022
2019,1,2022
2021,3,2022
2026,1,2022
2032,1,2022
2035,1,2022
2038,2,2022
2052,2,2022
2062,1,2022
2066,2,2022
2067,5,2022
2068,1,2022
2072,1,2022
2100,1,2022
2108,1,2022
2114,3,2022
2115,1,2022
2116,1,2022
2121,1,2022
2122,1,2022
2124,1,2022
2128,3,2022
2129,1,2022
2130,1,2022
2131,4,2022
2132,1,2022
2134,2,2022
2135,2,2022
2136,1,2022
2138,2,2022
2139,2,2022
2140,2,2022
2143,3,2022
2145,2,2022
2148,2,2022
2152,1,2022
2155,2,2022
2169,3,2022
2170,3,2022
2171,1,2022
2176,3,2022
2180,2,2022
2184,1,2022
2186,1,2022
2332,1,2022
2364,2,2022
2370,1,2022
2400,1,2022
2407,1,2022
2420,9,2022
2421,10,2022
2434,1,2022
2445,2,2022
2446,1,2022
2451,1,2022
2452,1,2022
2453,1,2022
2458,5,2022
2459,6,2022
2460,1,2022
2461,1,2022
2464,1,2022
2465,1,2022
2466,2,2022
2467,1,2022
2472,1,2022
2474,3,2022
2478,4,2022
2481,1,2022
2482,1,2022
2492,4,2022
2493,1,2022
2494,1,2022
2532,1,2022
2553,1,2022
2554,1,2022
2583,1,2022
2598,1,2022
2600,2,2022
2645,1,2022
2716,1,2022
2721,3,2022
2760,1,2022
2762,1,2022
2771,2,2022
2790,1,2022
2798,1,2022
2800,1,2022
2806,2,2022
2807,2,2022
2818,2,2022
2827,1,2022
2828,1,2022
2831,1,2022
2834,1,2022
2842,3,2022
2857,1,2022
2860,1,2022
2864,3,2022
2865,1,2022
2879,1,2022
2882,1,2022
2898,1,2022
2906,1,2022
2908,1,2022
2919,2,2022
2920,1,2022
2921,2,2022
2932,1,2022
3000,30,2022
3001,4,2022
3002,6,2022
3003,2,2022
3004,1,2022
3005,2,2022
3015,1,2022
3028,1,2022
3040,1,2022
3042,1,2022
3046,1,2022
3053,2,2022
3054,4,2022
3060,4,2022
3062,5,2022
3064,2,2022
3076,1,2022
3087,1,2022
3100,1,2022
3110,4,2022
3165,3,2022
3200,1,2022
3257,1,2022
3261,1,2022
3269,1,2022
3283,1,2022
3300,2,2022
3303,1,2022
3306,1,2022
3326,1,2022
3383,1,2022
3405,1,2022
3408,1,2022
3410,1,2022
3446,1,2022
3451,1,2022
3455,1,2022
3476,1,2022
3574,1,2022
3600,2,2022
3601,1,2022
3705,1,2022
3709,1,2022
3730,1,2022
3782,1,2022
3801,1,2022
3810,1,2022
3824,1,2022
3833,1,2022
3885,1,2022
3911,1,2022
3936,2,2022
4006,1,2022
4015,1,2022
4017,1,2022
4021,1,2022
4043,1,2022
4059,1,2022
4063,1,2022
4072,1,2022
4075,1,2022
4078,2,2022
4080,2,2022
4091,1,2022
4092,1,2022
4096,1,2022
4100,1,2022
4101,1,2022
4102,1,2022
4103,1,2022
4105,1,2022
4108,1,2022
4114,1,2022
4129,2,2022
4133,1,2022
4194,1,2022
4210,2,2022
4230,1,2022
4240,1,2022
4310,1,2022
4316,2,2022
4323,1,2022
4330,1,2022
4358,1,2022
4384,1,2022
4385,3,2022
4391,1,2022
4400,3,2022
4401,1,2022
4403,1,2022
4418,1,2022
4419,1,2022
4420,1,2022
4425,1,2022
4428,1,2022
4429,1,2022
4449,1,2022
4470,1,2022
4500,1,2022
4562,2,2022
4574,1,2022
4582,1,2022
4593,2,2022
4595,3,2022
4600,2,2022
4605,1,2022
4609,2,2022
4631,1,2022
4671,1,2022
4700,3,2022
4710,1,2022
4716,1,2022
4718,1,2022
4769,1,2022
4778,1,2022
4780,1,2022
4800,4,2022
4810,1,2022
4820,1,2022
4949,1,2022
4964,1,2022
4971,1,2022
4974,1,2022
5000,37,2022
5002,4,2022
5003,4,2022
5004,4,2022
5005,4,2022
5009,2,2022
5018,1,2022
5070,2,2022
5096,2,2022
5116,1,2022
5224,1,2022
5236,1,2022
5268,2,2022
5269,1,2022
5276,1,2022
5281,1,2022
5309,1,2022
5346,1,2022
5359,1,2022
5400,4,2022
5401,2,2022
5410,1,2022
5446,1,2022
5459,1,2022
5468,1,2022
5495,1,2022
5501,1,2022
5502,1,2022
5507,3,2022
5510,3,2022
5553,1,2022
5555,2,2022
5564,1,2022
5571,3,2022
5572,1,2022
5580,1,2022
5600,8,2022
5607,1,2022
5641,1,2022
5649,3,2022
5652,1,2022
5698,3,2022
5700,1,2022
5701,1,2022
5718,2,2022
5730,1,2022
5748,1,2022
5781,1,2022
5785,1,2022
5812,1,2022
5819,1,2022
5848,3,2022
5852,1,2022
6000,3,2022
6001,7,2022
6002,1,2022
6003,1,2022
6004,3,2022
6005,2,2022
6007,1,2022
6010,1,2022
6011,1,2022
6012,3,2022
6013,1,2022
6015,1,2022
6016,1,2022
6018,1,2022
6020,1,2022
6029,3,2022
6032,1,2022
6033,1,2022
6037,1,2022
6040,2,2022
6042,2,2022
6046,1,2022
6059,1,2022
6062,1,2022
6065,1,2022
6066,1,2022
6067,3,2022
6068,1,2022
6070,1,2022
6071,1,2022
6073,1,2022
6074,2,2022
6075,1,2022
6080,1,2022
6084,1,2022
6085,1,2022
6088,2,2022
6089,1,2022
6090,1,2022
6092,2,2022
6095,1,2022
6097,1,2022
6100,6,2022
6107,2,2022
6109,2,2022
6110,1,2022
6111,1,2022
6119,1,2022
6125,1,2022
6132,1,2022
6154,1,2022
6178,1,2022
6200,1,2022
6207,1,2022
6211,1,2022
6213,1,2022
6216,2,2022
6217,1,2022
6250,1,2022
6255,3,2022
6258,1,2022
6264,1,2022
6268,1,2022
6269,1,2022
6276,1,2022
6281,4,2022
6282,1,2022
6284,3,2022
6288,4,2022
6291,1,2022
6292,1,2022
6295,1,2022
6300,8,2022
6301,1,2022
6310,1,2022
6317,1,2022
6330,1,2022
6333,1,2022
6335,1,2022
6344,1,2022
6346,2,2022
6355,4,2022
6356,2,2022
6357,1,2022
6360,2,2022
6370,1,2022
6371,1,2022
6374,1,2022
6376,1,2022
6405,2,2022
6410,2,2022
6414,2,2022
6437,2,2022
6443,2,2022
6450,1,2022
6455,1,2022
6460,3,2022
6468,1,2022
6470,4,2022
6471,1,2022
6482,1,2022
6484,6,2022
6489,2,2022
6492,3,2022
6500,2,2022
6501,1,2022
6511,1,2022
6515,4,2022
6516,2,2022
6519,1,2022
6520,2,2022
6521,1,2022
6524,1,2022
6525,3,2022
6530,3,2022
6544,2,2022
6547,2,2022
6549,1,2022
6550,1,2022
6560,1,2022
6566,1,2022
6575,1,2022
6592,1,2022
6600,10,2022
6601,4,2022
6602,2,2022
6603,1,2022
6609,1,2022
6610,1,2022
6611,1,2022
6614,1,2022
6621,1,2022
6624,1,2022
6626,2,2022
6629,1,2022
6635,1,2022
6641,1,2022
6660,1,2022
6666,1,2022
6680,2,2022
6690,1,2022
6700,2,2022
6701,1,2022
6706,2,2022
6708,1,2022
6714,1,2022
6715,1,2022
6718,1,2022
6720,1,2022
6735,2,2022
6750,1,2022
6751,1,2022
6762,1,2022
6770,1,2022
6776,1,2022
6798,1,2022
6800,5,2022
6801,2,2022
6804,2,2022
6807,2,2022
6810,3,2022
6811,1,2022
6820,2,2022
6824,3,2022
6830,2,2022
6831,1,2022
6840,3,2022
6851,2,2022
6870,1,2022
6878,1,2022
6880,5,2022
6881,1,2022
6883,2,2022
6897,1,2022
6900,1,2022
6902,1,2022
6906,1,2022
6907,3,2022
6910,1,2022
6941,1,2022
6946,1,2022
6952,1,2022
7003,4,2022
7005,1,2022
7006,2,2022
7009,1,2022
7013,1,2022
7016,2,2022
7020,1,2022
7022,2,2022
7023,2,2022
7024,5,2022
7028,1,2022
7029,3,2022
7030,4,2022
7031,1,2022
7034,1,2022
7035,1,2022
7036,2,2022
7039,14,2022
7040,1,2022
7041,3,2022
7042,2,2022
7043,3,2022
7045,2,2022
7046,2,2022
7052,1,2022
7054,6,2022
7055,1,2022
7058,2,2022
7059,1,2022
7063,1,2022
7064,2,2022
7067,2,2022
7069,2,2022
7070,5,2022
7075,1,2022
7076,3,2022
7078,4,2022
7079,1,2022
7080,1,2022
7081,2,2022
7082,2,2022
7086,2,2022
7090,3,2022
7093,3,2022
7094,1,2022
7100,5,2022
7102,1,2022
7105,1,2022
7109,2,2022
7110,1,2022
7111,1,2022
7114,1,2022
7140,1,2022
7204,1,2022
7205,2,2022
7208,2,2022
7209,1,2022
7275,1,2022
7302,9,2022
7304,2,2022
7305,1,2022
7306,4,2022
7307,2,2022
7310,1,2022
7311,1,2022
7336,1,2022
